codigo_postal;nombre
08757;Amunt (L')
08758;Cervelló
08760;Can Bros
08769;Àngels (Els)
08770;Sant Celoni
08773;Can Paixano
08775;Can Nadal de la Bogadella
08776;Sant Pere de Riudebitlles
08777;Sant Quintí de Mediona
08779;Llacuna (La)
08780;Magina (La)
08781;Can Gras
08782;Beguda Alta (La)
08783;Masquefa
08784;Bedorc (El)
08785;Can Feixes
08786;Capellades
08787;Carme
08788;Vilanova del Camí
08789;Torre Baixa (La)
08790;Gelida
08792;Granada (La)
08794;Cabanyes (Les)
08795;Olesa de Bonesvalls
08796;Pacs del Penedès
08797;Puigdàlber
08798;Sant Sebastia Dels Gorgs
08799;Sant Pere Molanta
08800;Vilanova I la Geltru
08810;Can Macia
08811;Canyelles
08812;Puigmolto
08818;Olivella
08820;Prat de Llobregat (El)
08830;Sant Boi de Llobregat
08840;Viladecans
08849;Sant Climent de Llobregat
08850;Gava
08859;Begues
08860;Castelldefels
08870;Botigues (Les)
08880;Cubelles
08901;Hospitalet Llobregat (L')
08911;Badalona
08921;Santa Coloma de Gramenet
08930;Sant Adria de Besos
08940;Almeda Mercader
08950;Esplugues de Llobregat
08960;Sant Just Desvern
08970;Sant Joan Despi
08980;Sant Feliu de Llobregat
09001;Burgos
09100;Melgar de Fernamental
09107;Arenillas de Riopisuerga
09108;Castrillo de Riopisuerga
09109;Villasilos
09110;Castrojeriz
09119;Balbases (Los)
09120;Villadiego
09121;San Llorente de la Vega
09123;Citores del Paramo
09124;Congosto
09125;Fuente-Urbel
09126;Barrio-Panizares
09127;Arcellares del Tozo
09128;Grijalba
09129;Acedillo
09130;Rabe de Las Calzadas
09131;Lodoso
09133;Borcos
09135;Barrio de San Felices
09136;Amaya
09140;Quintanaortuño
09141;Abajas
09142;Cortiguera
09143;Moradillo del Castillo
09144;Lorilla
09145;Ayoluengo
